model,varianta,f1_macro,f1_weighted,auc_roc,cv_f1_macro_mean,cv_f1_macro_std,cv_auc_mean,cv_auc_std
LogisticRegression,ModelA,0.9722582172920843,0.9901659136076568,0.9999425911696387,0.9533476724003211,0.004379106289345569,0.9998444167850458,9.798621939397916e-05
RandomForest,ModelA,0.9936226090360966,0.997802426862381,0.9999911678722522,0.99495276916252,0.0023055787692092167,0.9999640968629835,4.537995690308594e-05
XGBoost,ModelA,1.0,1.0,0.9999999999999999,1.0,0.0,1.0,0.0
LogisticRegression,ModelB,0.64257164594811,0.8309674502829743,0.8501519125972639,0.6429429966534107,0.012876861595879632,0.8418232943529425,0.009573618603724396
RandomForest,ModelB,0.7865351539558688,0.9241032146628279,0.9131249834397605,0.7795663941481914,0.004896997416737774,0.9111907013110135,0.015153434405283984
XGBoost,ModelB,0.7943427520882459,0.9328407775422296,0.901638801303622,0.7747529861627133,0.01622210418739231,0.9121686286444242,0.0126756917794114
