model,varianta,f1_macro,f1_weighted,auc_roc,cv_f1_macro_mean,cv_f1_macro_std,cv_auc_mean,cv_auc_std
LogisticRegression,ModelA,1.0,1.0,1.0,0.9990059945400251,0.0007240722657651865,0.9996920215940083,0.0003983255280957524
RandomForest,ModelA,0.999431929070167,0.9994321346008712,0.9999896775259094,0.997301595279146,0.0012218776652084436,0.9999637103615978,2.5044375996962287e-05
XGBoost,ModelA,1.0,1.0,1.0,0.9988635620467334,0.0012388118523068569,0.9999971748311152,4.7077257409581785e-06
LogisticRegression,ModelB,0.8336153314082007,0.8336259547164757,0.9195763140509517,0.8485077104570461,0.013342677156019722,0.9260939318678449,0.006756084903151292
RandomForest,ModelB,0.8675820631177547,0.8676525181550963,0.9399335232668566,0.8648696482637839,0.008324803629530964,0.9385045029203981,0.007915694604187097
XGBoost,ModelB,0.8869713863655055,0.8870026584604992,0.9552469135802468,0.8940015793121325,0.0076316355386377615,0.9544816846890347,0.007680709780329326
