model,varianta,f1_macro,f1_weighted,auc_roc,cv_f1_macro_mean,cv_f1_macro_std,cv_auc_mean,cv_auc_std
LogisticRegression,ModelA,0.9445170508268023,0.9448089430071623,0.9893951119934498,0.9332193869670423,0.00973059183441561,0.9852676655041244,0.002069268336407927
RandomForest,ModelA,0.9240982303710557,0.9244192477207854,0.9856470421092381,0.9231316447532691,0.0077314727526616965,0.9823578724793602,0.0016158942169914447
XGBoost,ModelA,0.9472468013186548,0.9475297742466227,0.9905335531702503,0.9434338704794645,0.004740473039845894,0.9889790898353441,0.001187114000124337
LogisticRegression,ModelB,0.8918993287839385,0.8923955566494886,0.9655028021729459,0.8856270929356054,0.00704427885570443,0.9584341994821427,0.003768031139417108
RandomForest,ModelB,0.9138477801268499,0.9142077069741502,0.969123755472556,0.8868212156156797,0.005372531063893867,0.9615848613320146,0.003581008945349918
XGBoost,ModelB,0.9041480762409693,0.9046276278130063,0.9700902153878365,0.8979274820913747,0.005066218590658142,0.9656963120568047,0.0029058407873597536
