model,varianta,f1_macro,f1_weighted,auc_roc,cv_f1_macro_mean,cv_f1_macro_std,cv_auc_mean,cv_auc_std
LogisticRegression,ModelA,0.7028586785185428,0.7238197376748918,0.7880415673711763,0.7045089312077332,0.011988070398882637,0.793094929451445,0.006951375997140376
RandomForest,ModelA,0.755377843080332,0.7789297549676464,0.8533353517990389,0.7454530870825424,0.005224188170866986,0.8395157411606272,0.004524652881868752
XGBoost,ModelA,0.7521733933642989,0.7831035833221655,0.8551656444114546,0.7497244410725732,0.009699814566332348,0.8459331327039619,0.005388681352489758
LogisticRegression,ModelB,0.6908170005600851,0.7135862121103995,0.7737732937453607,0.6942227792078279,0.012357434575194988,0.779003540787768,0.011478859502769868
RandomForest,ModelB,0.7338609836367227,0.7595670349775527,0.8227067625112318,0.7255992891705985,0.003619044346434083,0.817240689590939,0.0054918258693463316
XGBoost,ModelB,0.7293366535097923,0.7639562635973643,0.8278802203383209,0.7271354721935817,0.008207576869504242,0.8213213749677453,0.007909187793488566
