model,varianta,f1_macro,f1_weighted,auc_roc,cv_f1_macro_mean,cv_f1_macro_std,cv_auc_mean,cv_auc_std
LogisticRegression,ModelA,0.7310436313806559,0.7480971260253515,0.8156904575360829,0.7407772669070509,0.010284042452610198,0.8297380135732195,0.012550787519051117
RandomForest,ModelA,0.7593627397934486,0.7791240576715053,0.8533090421665708,0.785262146331954,0.011144782511586798,0.8687637911615159,0.010694187430471668
XGBoost,ModelA,0.7846198705437983,0.8059166824518122,0.8713225785136449,0.7883168583516214,0.011388918212917001,0.8745755262184721,0.008855819925412739
LogisticRegression,ModelB,0.7066995566995566,0.7243544742386798,0.7947459339041129,0.724585343024727,0.010415552742802838,0.8096372837851783,0.011278262557934309
RandomForest,ModelB,0.7616388732308892,0.7820788079667244,0.8470770363517939,0.7840797596862721,0.012314979576551975,0.8629061653579326,0.009627054653141395
XGBoost,ModelB,0.7877445509169033,0.8089399009950179,0.862354984566299,0.7904736088266133,0.014113095431202214,0.8682842141899247,0.009807352963258765
