model,varianta,f1_macro,f1_weighted,auc_roc,cv_f1_macro_mean,cv_f1_macro_std,cv_auc_mean,cv_auc_std
LogisticRegression,ModelA,0.9484036024979244,0.9874668664012037,0.9996761251346724,0.9451529710234643,0.00690098552317912,0.9998641065027005,4.8349062961843896e-05
RandomForest,ModelA,0.953530201102271,0.9891574950044592,0.9978121922362567,0.9518179914153266,0.010233079331165474,0.997355902939489,0.0011268334461193908
XGBoost,ModelA,0.9850811501930905,0.9965247978629911,0.9998281480306425,0.9872854837438927,0.0023457642691610443,0.9998969850746893,6.939072443285784e-05
LogisticRegression,ModelB,0.7002464087239174,0.902367801486939,0.9535074325976748,0.7082978112342315,0.008213656256116517,0.9558526636017772,0.006090950260461305
RandomForest,ModelB,0.7999679518209042,0.9481135499133975,0.9624007720119239,0.8242059234660655,0.022822419105338075,0.9653254397000772,0.00686117575209244
XGBoost,ModelB,0.8601736365859622,0.9676432006996065,0.9634318838280687,0.8511336143639054,0.0211494856251219,0.9659742835671278,0.004973116364001029
