model,varianta,f1_macro,f1_weighted,auc_roc,cv_f1_macro_mean,cv_f1_macro_std,cv_auc_mean,cv_auc_std
LogisticRegression,ModelA,0.8436035708762981,0.8593814825466484,0.9417691759854132,0.8403882569998018,0.0034384028567492385,0.9323746797576851,0.0034813490964272376
RandomForest,ModelA,0.9685347306388077,0.9723956895864674,0.9972882727350693,0.9681010142931396,0.004671392066702293,0.996633252498761,0.00063301645058964
XGBoost,ModelA,0.9979374499754659,0.9981902098911845,0.9999860172193283,0.9981937089316002,0.0008562420293257995,0.9999932934262791,9.912711946302214e-06
LogisticRegression,ModelB,0.7527275167361374,0.7751318704741248,0.8463991543214251,0.7439115347028304,0.010398645802358376,0.8429443181776193,0.007348678050341944
RandomForest,ModelB,0.7910223206865881,0.8145831970694262,0.8825614216945639,0.7889399015225442,0.016433182687585104,0.8834343903841573,0.010097848125544108
XGBoost,ModelB,0.7931075829847423,0.8191814174158877,0.8879168266918231,0.7903378872032999,0.012490418137595853,0.8851180254028295,0.00974969678507885
